State,Year,Period,Pandemic_Response_4,Pandemic_Response_5,Pandemic_Response_6,Pandemic_Response_7,Pandemic_Response_10,Pandemic_Response_9,Pandemic_Response_12
CT,2021,M07,0,0,0,0,1,0,0
CT,2021,M08,0,0,0,0,1,0,0
CT,2021,M09,0,0,0,0,1,0,0
CT,2021,M10,0,0,0,0,1,0,0
CT,2021,M11,0,0,0,0,1,0,0
CT,2021,M12,0,0,0,0,1,0,0
DE,2020,M01,0,0,0,0,0,0,0
DE,2020,M02,0,0,0,0,0,0,0
DE,2020,M03,0,0,0,1,0,0,1
DE,2020,M04,0,1,0,1,0,0,1
DE,2020,M05,0,1,0,0,1,0,1
DE,2020,M06,0,1,0,0,1,0,1
DE,2020,M07,0,1,0,0,1,0,1
DE,2020,M08,0,0,0,0,1,0,1
DE,2020,M09,0,0,0,0,1,0,1
DE,2020,M10,0,0,0,0,1,0,1
DE,2020,M11,0,0,0,0,1,0,1
DE,2020,M12,0,1,0,1,1,0,0
DE,2021,M01,0,1,0,1,1,0,0
DE,2021,M02,0,1,0,0,1,0,0
DE,2021,M03,0,1,1,0,1,0,0
DE,2021,M04,0,0,1,0,1,0,0
DE,2021,M05,0,0,1,0,1,0,0
DE,2021,M06,0,0,1,0,1,0,0
DE,2021,M07,0,0,0,0,1,0,0
DE,2021,M08,0,0,0,0,1,0,0
DE,2021,M09,0,0,0,0,1,0,0
DE,2021,M10,0,0,0,0,1,0,0
DE,2021,M11,0,0,0,0,1,0,0
DE,2021,M12,0,0,0,0,1,0,0
FL,2020,M01,0,0,0,0,0,0,0
FL,2020,M02,0,0,0,0,0,0,0
FL,2020,M03,0,0,0,0,0,0,0
FL,2020,M04,0,1,0,0,0,0,1
FL,2020,M05,0,1,0,0,0,0,1
FL,2020,M06,0,1,0,0,0,0,1
FL,2020,M07,0,1,0,0,0,0,1
FL,2020,M08,0,1,0,0,0,0,1
FL,2020,M09,0,1,0,0,0,0,0
FL,2020,M10,0,1,0,0,0,0,0
FL,2020,M11,0,1,0,0,0,0,0
FL,2020,M12,0,1,0,0,0,0,0
FL,2021,M01,0,0,0,0,0,0,0
FL,2021,M02,0,0,0,0,0,0,0
FL,2021,M03,0,0,0,0,0,0,0
FL,2021,M04,0,0,0,0,0,0,0
FL,2021,M05,0,0,0,0,0,0,0
FL,2021,M06,0,0,0,0,0,0,0
FL,2021,M07,0,0,0,0,0,0,0
FL,2021,M08,0,0,0,0,0,0,0
FL,2021,M09,0,0,0,0,0,0,0
FL,2021,M10,0,0,0,0,0,0,0
FL,2021,M11,0,0,0,0,0,0,0
FL,2021,M12,0,0,0,0,0,0,0
GA,2020,M01,0,0,0,0,0,0,0
GA,2020,M02,0,0,0,0,0,0,0
GA,2020,M03,0,0,0,0,0,0,0
GA,2020,M04,0,1,0,0,0,0,1
GA,2020,M05,0,1,0,0,0,0,1
GA,2020,M06,0,1,1,1,0,0,1
GA,2020,M07,0,0,0,1,0,0,1
GA,2020,M08,0,0,0,1,0,0,1
GA,2020,M09,0,0,0,1,0,0,1
GA,2020,M10,0,0,0,1,0,0,1
GA,2020,M11,0,0,0,1,0,0,0
GA,2020,M12,0,0,0,1,0,0,0
GA,2021,M01,0,0,0,1,0,0,0
GA,2021,M02,0,0,0,1,0,0,0
GA,2021,M03,0,0,0,1,0,0,0
GA,2021,M04,0,0,0,1,0,0,0
GA,2021,M05,0,0,0,1,0,0,0
GA,2021,M06,0,0,0,1,0,0,0
GA,2021,M07,0,0,0,1,0,0,0
GA,2021,M08,0,0,0,1,0,0,0
GA,2021,M09,0,0,0,1,0,0,0
GA,2021,M10,0,0,0,1,0,0,0
GA,2021,M11,0,0,0,0,0,0,0
GA,2021,M12,0,0,0,0,0,0,0
HI,2020,M01,0,0,0,0,0,0,0
HI,2020,M02,0,0,0,0,0,0,0
HI,2020,M03,0,0,0,0,0,0,1
HI,2020,M04,0,1,0,0,0,0,1
HI,2020,M05,0,1,0,0,1,0,1
HI,2020,M06,0,1,0,0,1,0,1
HI,2020,M07,0,1,0,0,1,0,1
HI,2020,M08,0,1,0,0,1,0,1
HI,2020,M09,0,1,0,0,1,0,1
HI,2020,M10,0,1,0,0,1,0,1
HI,2020,M11,0,1,0,0,1,0,1
HI,2020,M12,0,1,0,0,1,0,1
HI,2021,M01,0,0,0,0,1,0,0
HI,2021,M02,0,0,0,0,1,0,0
HI,2021,M03,0,0,0,0,1,0,0
HI,2021,M04,0,0,0,0,1,0,0
HI,2021,M05,0,0,0,0,1,0,0
HI,2021,M06,0,0,0,0,1,0,0
HI,2021,M07,0,0,1,0,1,0,0
HI,2021,M08,0,0,1,0,1,0,0
HI,2021,M09,0,0,0,0,0,0,0
