Time,Factor_Global,Factor_Pandemic,Factor_Cases1,Factor_Cases2,Factor_Cases3,Factor_Cases4,Factor_Cases5,Factor_Hosp1,Factor_Hosp2,Factor_Deaths1,Factor_Deaths2,Factor_Deaths3,Factor_Deaths4,Factor_Deaths5,State,Time
2012-03-01,-1.5231744641125553,0.8615877762928715,39888.40427131899,5534.0,20599.7393091693,2283.350879831554,4862.259988970773,13454.128440366974,7145.53566952424,142036.0,133744.0,100.4235391,99.595,99.735,WY,2012-03-01
2012-04-01,-0.7628464793064305,0.8985763831873703,39647.02701620171,4920.0,20648.16854585144,2288.933838009603,4864.0177838303325,13495.216924011476,7152.884865720065,141899.0,133827.0,100.5903214,99.746,99.866,WY,2012-04-01
2012-05-01,1.9946473489166676,0.7786717076796446,39502.275597971005,4249.0,20746.88734286344,2300.0915585674056,4877.623954929125,13569.171829366942,7177.657036309321,142206.0,133935.0,100.3822825,99.847,99.754,WY,2012-05-01
2012-06-01,1.3804064405774263,0.7886572771999429,39332.72486560219,3589.0,20832.86528123245,2309.837117868892,4888.219128620718,13634.80903474284,7198.006098050229,142391.0,134007.0,100.2993302,99.95,99.704,WY,2012-06-01
2012-07-01,0.5487110030471004,0.924153682502509,38983.75777020253,3647.0,20900.89232003208,2317.592406924674,4894.600962502507,13688.698950604874,7212.151594144776,142292.0,134153.0,100.3282977,100.053,99.74,WY,2012-07-01
2012-08-01,-2.6027362505936527,1.286471827388633,38519.61029228079,3297.0,20906.220334748938,2318.394537430257,4886.335248563577,13701.490548755131,7204.696477641769,142291.0,134330.0,100.9111577,100.116,100.075,WY,2012-08-01
2012-09-01,-2.118831317845859,1.4028883386435032,38070.31351179032,3067.0,20917.970890325665,2319.9075503840445,4879.631197760488,13718.432142181133,7199.513842536786,143044.0,134512.0,101.3926317,100.24,100.379,WY,2012-09-01
2012-10-01,-1.9393326117278802,1.4899659096348017,37955.44165996205,3386.0,20930.89782174677,2321.549774692005,4873.2580430485605,13736.090004006175,7194.791263148483,143431.0,134671.0,101.6660668,100.482,100.677,WY,2012-10-01
2012-11-01,2.13137631149405,1.221958356549728,37978.90844755439,4893.0,21019.938574083837,2331.633684196573,4884.627617807552,13803.677272079734,7216.253019113598,143333.0,134834.0,101.4953345,100.591,100.609,WY,2012-11-01
2012-12-01,1.5429409420227196,1.1123168602105162,37982.76222003519,5481.0,21098.187746662294,2340.520712176792,4893.481653793007,13864.185380692494,7234.002365969799,143330.0,135075.0,101.4830453,100.664,100.593,WY,2012-12-01
2013-01-01,-1.6053680995246804,1.4042605707583862,38299.05311862314,6002.0,21114.702292954447,2342.2498271933187,4888.527290225922,13883.925175535238,7230.77711741924,143292.0,135265.0,101.6840618,100.871,100.787,WY,2013-01-01
2013-02-01,-3.35796726125137,1.745404205016091,38547.32624197606,6637.0,21094.596464866147,2339.9172235622896,4875.143342955435,13879.535898348391,7215.0605665177245,143362.0,135544.0,102.2361988,100.992,101.156,WY,2013-02-01
2013-03-01,2.2059860308025065,1.353706920064015,38986.567415341065,6126.0,21179.360145709397,2349.217504924621,4886.016055749681,13944.126585035092,7235.233560674302,143316.0,135689.0,101.9487188,101.085,101.023,WY,2013-03-01
2013-04-01,1.6246577999490317,1.307394565783116,38895.69134041319,5151.0,21252.9719448407,2357.280604427534,4894.2978284989695,14001.393511914228,7251.578432926503,143635.0,135876.0,101.735852,101.163,100.944,WY,2013-04-01
2013-05-01,0.019306787228383526,1.3219095453504788,38748.96874896871,4129.0,21296.084546084545,2361.9608619608653,4895.554895554896,14038.568788568757,7257.515757515761,143882.0,136091.0,101.7779865,101.272,101.01,WY,2013-05-01
2013-06-01,-1.594945252896288,1.4807597154890801,38544.47386098709,3520.0,21307.098826411668,2363.081360888292,4889.457462362193,14054.560003161185,7252.538823250486,143999.0,136269.0,102.0202597,101.438,101.228,WY,2013-06-01
2013-07-01,-0.5440270665790126,1.3880061325750586,38642.7439140702,3159.0,21337.416382185216,2366.3430484572195,4887.818931665253,14083.254402062772,7254.161980122472,144264.0,136391.0,102.2199594,101.567,101.354,WY,2013-07-01
2013-08-01,-0.8163365099909193,1.4420007558731502,38729.32059238824,2941.0,21361.343709979312,2368.8963320526746,4884.740419663087,14107.70695826352,7253.63675171576,144326.0,136635.0,102.4639882,101.685,101.51,WY,2013-08-01
2013-09-01,0.504883144590071,1.345519163871775,38859.97045790251,2682.0,21409.62580009847,2374.150664697193,4887.247661250615,14148.227474150664,7261.398325947808,144418.0,136819.0,102.5026115,101.799,101.55,WY,2013-09-01
2013-10-01,-0.8742303276443903,1.5251078445368949,38738.9814068409,2758.0,21430.02497001632,2376.3132196902634,4883.407719077486,14170.3040312486,7259.720938767749,143537.0,137039.0,102.557474,102.015,101.722,WY,2013-10-01
2013-11-01,-0.7100659536008287,1.4825874224123414,38623.32852380061,3867.0,21453.09233321228,2378.7719659864647,4880.203374525181,14194.116992700605,7258.975340511646,144479.0,137314.0,102.7466402,102.194,101.881,WY,2013-11-01
2013-12-01,-1.1158762236904685,1.596244925747612,38491.43842325928,4870.0,21466.83123702049,2380.1967007562403,4874.906939383253,14211.727596881,7255.103640139493,144778.0,137368.0,103.0183197,102.333,102.084,WY,2013-12-01
2014-01-01,0.8468552162826946,1.8439873289203574,38539.66639942119,5145.0,21513.31827633186,2383.3326815150863,4873.482078257299,14256.503516559476,7256.806612044301,145150.0,137552.0,103.2680542,102.426,102.278,WY,2014-01-01
2014-02-01,2.2100338735343996,1.4719757965627287,38638.23799566144,5376.0,21587.859185574565,2389.581582598839,4878.442025445094,14319.835577530635,7268.007322141658,145134.0,137707.0,103.3817294,102.489,102.338,WY,2014-02-01
2014-03-01,0.4418705080529879,1.241245353699287,38681.91880479408,4672.0,21631.68134343641,2392.435368577085,4876.490837989916,14362.75513686941,7268.901826550812,145648.0,137986.0,103.5928407,102.684,102.543,WY,2014-03-01
2014-04-01,0.41523033567664935,1.0217161467909284,38880.56166579072,3792.0,21676.594446931827,2395.417648089389,4874.832103716104,14406.344695126336,7270.21730807914,145667.0,138298.0,103.7859569,102.879,102.742,WY,2014-04-01
2014-05-01,0.5802862758645344,0.8176721977210399,39086.789935126944,2897.0,21725.977062868176,2398.90107754642,4874.2214751406445,14452.854510181114,7273.082067774978,145825.0,138501.0,103.9834622,103.061,102.919,WY,2014-05-01
2014-06-01,1.2197725862603381,0.6592304003063688,39315.57237831806,2469.0,21788.08171980395,2403.794827000534,4876.498277284419,14507.788615519,7280.244577085457,146247.0,138833.0,104.1208381,103.18,103.035,WY,2014-06-01
2014-07-01,0.7520207899453484,0.5852019856381381,39346.80363084281,2291.0,21841.78861000746,2407.767225506347,4876.926058726621,14557.095325774491,7284.636754207452,146399.0,139076.0,104.2380246,103.369,103.19,WY,2014-07-01
2014-08-01,2.623706470362495,0.41182442081082776,39442.05911524206,2199.0,21930.98591094265,2415.654651715014,4885.294203165434,14630.0370560622,7300.884240996859,146530.0,139258.0,104.2213464,103.408,103.177,WY,2014-08-01
2014-09-01,2.0902141011949182,0.21339214207160717,39522.3976047208,1809.0,22011.88434444735,2422.628218171952,4891.815160412004,14697.440965863396,7314.370706277918,146778.0,139563.0,104.2288077,103.536,103.203,WY,2014-09-01
2014-10-01,2.6519526254377093,0.08333100128482053,39368.04391159531,1970.0,22103.876509945723,2430.822760886632,4900.8015352258735,14772.252213833215,7331.543528758027,147427.0,139805.0,104.2081794,103.629,103.177,WY,2014-10-01
2014-11-01,3.262770010531925,0.007597519841816114,39233.77110451541,3039.0,22207.325392668437,2440.2752720712333,4912.316436788298,14854.7336838089,7352.502796691818,147404.0,140089.0,104.0119908,103.74,103.098,WY,2014-11-01
2014-12-01,4.116020314798824,-0.20260561491625712,39129.29862055567,3536.0,22328.05517777346,2451.622304254906,4927.627744317078,14948.805129201475,7379.152904604625,147615.0,140366.0,103.6911544,103.837,102.94,WY,2014-12-01
2015-01-01,3.868029725096065,-0.273256639294031,38860.944387514464,4276.0,22444.476975877908,2468.2005237560825,4943.964605800351,15032.311846321476,7412.075668114312,148145.0,140562.0,103.0306089,103.816,102.465,WY,2015-01-01
2015-02-01,-3.3830154201525557,0.43763290601949,38347.94837318364,4933.0,22420.41298854833,2469.3408941806124,4929.328162857016,15021.743931510708,7398.587862371796,148045.0,140829.0,103.2917548,103.92,102.634,WY,2015-02-01
2015-03-01,-3.3917591396064033,0.9717871056676727,37826.3364160613,5433.0,22390.329764370665,2469.8048253931206,4913.401600684618,15007.123338292928,7383.133490873374,148128.0,140924.0,103.5700178,104.08,102.831,WY,2015-03-01
2015-04-01,-1.8725518071359621,1.1340457783265419,37739.09241084443,4745.0,22386.00071259674,2473.0994720305803,4903.151621157644,15009.749619408514,7376.186311663911,148511.0,141202.0,103.6779874,104.256,102.91,WY,2015-04-01
2015-05-01,-3.5760652342914403,1.588779157379744,37591.02718213192,4536.0,22345.44444013601,2472.3800199051243,4884.996187004798,14988.068233226084,7357.31965825223,148817.0,141540.0,104.019891,104.385,103.156,WY,2015-05-01
2015-06-01,-2.844267963093299,1.8734195941998835,37460.33128217036,4303.0,22315.00832075545,2472.764038855993,4869.093231162196,14973.151050737257,7341.808893533031,148816.0,141695.0,104.3078098,104.511,103.356,WY,2015-06-01
2015-07-01,-1.4014882561508624,1.9872030957024946,37387.174009016446,3973.0,22309.46465456956,2475.8960824689143,4858.647280414275,14974.92129168637,7334.503082272338,148830.0,141989.0,104.4732753,104.603,103.441,WY,2015-07-01
2015-08-01,-0.36002762095182295,2.0452231365145632,37344.437784781134,3604.0,22322.041981658032,2481.0360717439053,4852.155475209944,14988.850434704183,7333.159322776697,149181.0,142130.0,104.4728364,104.679,103.442,WY,2015-08-01
2015-09-01,1.3798946145809157,1.8692298458522751,37357.3178169989,3106.0,22367.919139501784,2489.8827561502194,4852.888497323044,15025.14788602852,7342.747049540609,148826.0,142265.0,104.2380246,104.814,103.289,WY,2015-09-01
2015-10-01,-0.17555279714101724,1.9664547508725154,37014.44700505452,3097.0,22383.98177017768,2495.416723150716,4847.1380340969945,15041.427012929971,7342.538618948942,149246.0,142585.0,104.3411662,104.829,103.274,WY,2015-10-01
2015-11-01,-0.9972717213811682,2.116073862485662,36643.7965104464,4291.0,22383.141243375263,2499.06454932244,4837.731564363848,15046.345129688978,7336.788049456312,149463.0,142810.0,104.465814,104.94,103.337,WY,2015-11-01
2015-12-01,0.7607126047859372,2.1178963984785555,36325.23994460209,5327.0,22414.167142843307,2506.271004232323,4835.210599207771,15072.685539403214,7341.481603440095,150128.0,143083.0,104.3534555,105.009,103.253,WY,2015-12-01
2016-01-01,1.0069242974266395,3.555701695294705,35866.03553197946,6154.0,22434.86180215409,2498.733535967582,4826.930026652209,15109.198239534298,7325.663562619791,150653.0,143198.0,104.3056153,105.204,103.306,WY,2016-01-01
2016-02-01,2.1766179368491416,3.131936984729078,35447.427726442045,7187.0,22480.98319159518,2494.026978684382,4824.118737206437,15162.837475704364,7318.145715890819,150939.0,143410.0,104.1669227,105.369,103.242,WY,2016-02-01
