Time	TBill1yr	TBill10yr	Employment1	Employment2	Cons1	Cons5	CPIU	PCE	Cases5	Cases2	Deaths5	Deaths2	Cases3	Deaths3	Cases4	Hosp2	Cases1	Hosp1	Deaths4	Deaths1
2012-02-01	0.023504273504273504	0.4017857142857143	0.8170711884503437	0.8237297960071758	0.47883865492564626	0.5385770300684641	0.48042480973508717	0.49675221673418135	0.6694342937504008	0.6689244678299672	0.5766197183098591	0.5258957654723128	0.6730074625023654	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2012-03-01	0.029914529914529912	0.4613095238095237	0.8135122768330407	0.8217942005629378	0.5034117515766623	0.5588644148842415	0.4783596646895119	0.4753169610054069	0.6694342937504008	0.6689244678299672	0.5766197183098591	0.5258957654723128	0.6730074625023654	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2012-04-01	0.027777777777777776	0.425595238095238	0.8018882440272991	0.8158387327196476	0.5487289313682584	0.5962270493234811	0.4580164258916395	0.4362124408304384	0.6694342937504008	0.6689244678299672	0.5766197183098591	0.5258957654723128	0.6730074625023654	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2012-05-01	0.029914529914529912	0.35119047619047616	0.8182644828456356	0.8168747967004858	0.7362364291360974	0.7506347929619046	0.2823120937051792	0.27598481283333187	0.6694342937504008	0.6689244678299672	0.5766197183098591	0.5258957654723128	0.6730074625023654	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2012-06-01	0.029914529914529912	0.2976190476190476	0.8137537407112719	0.8153773111977091	0.6876944732350372	0.7107352665064223	0.34089822278672366	0.31683735096458504	0.6694342937504008	0.6689244678299672	0.5766197183098591	0.5258957654723128	0.6730074625023654	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2012-07-01	0.029914529914529912	0.2708333333333333	0.8032999920192481	0.8184443536062311	0.6204919214742662	0.6554745930177868	0.39344637279221933	0.37358778620411015	0.6694342937504008	0.6689244678299672	0.5766197183098591	0.5258957654723128	0.6730074625023654	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2012-08-01	0.027777777777777776	0.31547619047619047	0.8069065484055066	0.8197213812617881	0.3887608613927621	0.46477993958464364	0.6527359268372354	0.5704963034279991	0.6694342937504008	0.6689244678299672	0.5766197183098591	0.5258957654723128	0.6730074625023654	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2012-09-01	0.027777777777777776	0.32738095238095233	0.834591805387279	0.8199184598513599	0.4129063556332428	0.4847125393756255	0.6040928049754837	0.5494444501182414	0.6694342937504008	0.6689244678299672	0.5766197183098591	0.5258957654723128	0.6730074625023654	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2012-10-01	0.027777777777777776	0.33630952380952384	0.8210965500458856	0.8189585210915629	0.4176470590051088	0.4886714144871505	0.506728251696605	0.5449245868322847	0.6694342937504008	0.6689244678299672	0.5766197183098591	0.5258957654723128	0.6730074625023654	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2012-11-01	0.027777777777777776	0.306547619047619	0.8033629658599835	0.8191157606636335	0.6982847775953276	0.7197376229887433	0.3006557725101743	0.3053631904044893	0.6694342937504008	0.6689244678299672	0.5766197183098591	0.5258957654723128	0.6730074625023654	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2012-12-01	0.023504273504273504	0.32738095238095233	0.8068337204551878	0.8223201170577645	0.6578086214804143	0.6864748395594145	0.37413804795301997	0.33936353140244074	0.6694342937504008	0.6689244678299672	0.5766197183098591	0.5258957654723128	0.6730074625023654	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2013-01-01	0.02136752136752136	0.3839285714285714	0.8055543580226956	0.8202058936939317	0.5006802470470071	0.5724305590550922	0.4730736920152049	0.4766357901129943	0.6694342937504008	0.6689244678299672	0.5766197183098591	0.5258957654723128	0.6730074625023654	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2013-02-01	0.023504273504273504	0.40476190476190477	0.8095017709632395	0.8238479088897778	0.36661617429923216	0.4620479463102901	0.6349860070635606	0.5903560713844669	0.6694342937504008	0.6689244678299672	0.5766197183098591	0.5258957654723128	0.6730074625023654	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2013-03-01	0.02136752136752136	0.39880952380952384	0.805262264353838	0.8183347319329395	0.7500022136407674	0.7776105230251955	0.24716895130705616	0.2632377374361727	0.6694342937504008	0.6689244678299672	0.5766197183098591	0.5258957654723128	0.6730074625023654	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2013-04-01	0.014957264957264954	0.3392857142857143	0.8185903306715626	0.8200477520852829	0.7082198211356022	0.7431910646976321	0.28136451627527614	0.2983423793122137	0.6694342937504008	0.6689244678299672	0.5766197183098591	0.5258957654723128	0.6730074625023654	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2013-05-01	0.014957264957264954	0.38988095238095233	0.815943793632123	0.8211815955429621	0.5967138246178582	0.6513780373698621	0.39935182972145283	0.3928492394475876	0.6694342937504008	0.6689244678299672	0.5766197183098591	0.5258957654723128	0.6730074625023654	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2013-06-01	0.019230769230769232	0.4999999999999999	0.8112013334931283	0.8196578374857798	0.48008573084522643	0.5553489073455972	0.4918638127890506	0.4917244055485628	0.6694342937504008	0.6689244678299672	0.5766197183098591	0.5258957654723128	0.6730074625023654	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2013-07-01	0.014957264957264954	0.5833333333333334	0.8165747062094404	0.8173653310839419	0.5499681468233351	0.6128482447005739	0.4719810427311055	0.4317047913931817	0.6694342937504008	0.6689244678299672	0.5766197183098591	0.5258957654723128	0.6730074625023654	0.0	0.0	0.0	0.0	0.0	0.0	0.0
